buffer size,real time (s),user time (s),sys time (s),RAM percent,số nhân CPU,avg CPU percent,Maximun RSS (kbytes),temp ,temp core 0,temp core 1,temp core 2,temp core 3
20,594.94,637.28,23.76,0.3,4,111,26268,47,47,47,47,46
60,598.97,982.55,27.01,0.8,4,159,65124,45,45,44,44,44
100,567.89,744.18,29.99,1.3,4,136,105700,44,43,43,44,43
150,569.96,768.97,29.28,1.8,4,140,156716,45,43,45,44,45
200,547.27,776.64,25.66,2.5,4,146,207832,46,44,45,46,46
250,572.74,809.14,27.23,3.2,4,146,258912,45,44,44,45,45
300,555.09,819.72,25.67,3.7,4,152,310212,47,46,47,47,46
350,533.91,812.82,25.24,4.5,4,156,361352,45,45,44,44,45
400,547.69,833.49,25.22,5.1,4,156,412604,46,45,45,45,46
450,535.88,841.95,24.95,5.7,4,161,463628,46,45,46,45,45
500,543.28,858.05,24.7,6.4,4,162,514812,50,46,50,47,48
550,548.19,870.2,24.6,7,4,163,565932,46,46,46,46,45
600,543.07,876.51,24.31,7.7,4,165,617108,47,46,45,45,46
650,550.02,887.18,24.77,7.9,4,165,668300,47,45,45,44,45
700,549.36,890.19,24.42,8.9,4,166,719624,48,46,45,45,48
750,544.71,895.29,24.93,9.6,4,168,770800,45,44,44,45,44
800,531.77,893.29,24.56,10.2,4,172,821992,45,45,44,45,45
850,550.18,914.06,23.77,10.9,4,170,873276,45,44,44,45,45
900,549.92,910.45,25.08,11.5,4,170,924360,46,46,46,46,45
950,547.79,927.72,24.2,12.1,4,173,975640,48,47,48,48,48
1024,541.72,926.65,23.99,13.1,4,175,1051396,46,46,46,46,46
